Title,Directory Categories,Directory Tags,com,uid
مركز الأمل للتربية الخاصة,إعاقات ذهنية,إربد|جهة تطوعية,المراكز والمؤسسات,851
مركز الأمل للتربية الخاصة,إعاقات ذهنية,المفرق|جهة تطوعية,المراكز والمؤسسات,852
مركز المنار للتنمية الفكرية / المدينة الرياضية,إعاقات ذهنية,جهة حكومية|عمان,المراكز والمؤسسات,853
مركز جمعية قضاء عرجان للتربية الخاصة,إعاقات متعددة,جهة تطوعية|عجلون,المراكز والمؤسسات,854
جمعية رعاية المعوقين,إعاقات ذهنية,الكرك|جهة تطوعية,المراكز والمؤسسات,855
مدرسة الرجاء لتعليم المعاقين سمعياً,إعاقات سمعية,الزرقاء|جهة خاصة,المراكز والمؤسسات,856
مركز المنار للتنمية الفكرية / زي,إعاقات متعددة,البلقاء|جهة حكومية,المراكز والمؤسسات,857
مجموعة جبل عمان للدعم الأسري,مجموعات دعم أسري,,المراكز والمؤسسات,858
مجموعة طبربور - جبل الحسين للدعم الأسري,مجموعات دعم أسري,,المراكز والمؤسسات,859
مجموعة الوحدات للدعم الأسري,مجموعات دعم أسري,,المراكز والمؤسسات,860
مجموعة الفحيص للدعم الأسري,مجموعات دعم أسري,,المراكز والمؤسسات,861
مجموعة القويسمة للدعم الأسري,مجموعات دعم أسري,,المراكز والمؤسسات,862
مجموعة البنيات للدعم الأسري,مجموعات دعم أسري,,المراكز والمؤسسات,863
مجموعة جبل النظيف للدعم الأسري,مجموعات دعم أسري,,المراكز والمؤسسات,864
مجموعة السلط للدعم الأسري,مجموعات دعم أسري,,المراكز والمؤسسات,865
مجموعة إربد للدعم الأسري,مجموعات دعم أسري,,المراكز والمؤسسات,866
مجموعة الزرقاء للدعم الأسري,مجموعات دعم أسري,,المراكز والمؤسسات,867
مجموعة المفرق للدعم الأسري,مجموعات دعم أسري,,المراكز والمؤسسات,868
مجموعة عين الباشا للدعم الأسري,مجموعات دعم أسري,,المراكز والمؤسسات,869
مجموعة مأدبا للدعم الأسري,مجموعات دعم أسري,,المراكز والمؤسسات,870
مجموعة جرش للدعم الأسري,مجموعات دعم أسري,,المراكز والمؤسسات,871
مجموعة الكرك للدعم الأسري,مجموعات دعم أسري,,المراكز والمؤسسات,872
مركز عزمي المفتي,أماكن صديقة,,المراكز والمؤسسات,873
مركز العابورة,أماكن صديقة,,المراكز والمؤسسات,874
مركز عز الدين القسام,أماكن صديقة,,المراكز والمؤسسات,875
مركز الجوفة,أماكن صديقة,,المراكز والمؤسسات,876
مركز النور,أماكن صديقة,,المراكز والمؤسسات,877
مبادرة متلازمة داون معنا، حياتنا لها معنى,مبادرات مجتمعية وأنشطة,,المراكز والمؤسسات,878
نشاطات صديق,مبادرات مجتمعية وأنشطة,,المراكز والمؤسسات,879
آدم ومشمش,مبادرات مجتمعية وأنشطة,,المراكز والمؤسسات,880
مبادرة بهجة,مبادرات مجتمعية وأنشطة,,المراكز والمؤسسات,881
نايا للتدريب والتنمية المجتمعية,مبادرات مجتمعية وأنشطة,,المراكز والمؤسسات,882
مركز أيتام المقابلين,أماكن صديقة,,المراكز والمؤسسات,883
مركز أيتام المزار الجنوبي,أماكن صديقة,,المراكز والمؤسسات,884
مركز صويلح,أماكن صديقة,,المراكز والمؤسسات,885
مركز مخيم اربد,أماكن صديقة,,المراكز والمؤسسات,886
مركز النظيف لرعاية الأسر الفقيرة,أماكن صديقة,,المراكز والمؤسسات,887
مركز الوحدات,أماكن صديقة,,المراكز والمؤسسات,888
مركز أيتام الرصيفة,أماكن صديقة,,المراكز والمؤسسات,889
مركز أيتام البقعة,أماكن صديقة,,المراكز والمؤسسات,890
مركز أيتام مخيم حطين,أماكن صديقة,,المراكز والمؤسسات,891
مركز مخيم سوف,أماكن صديقة,,المراكز والمؤسسات,892
مركز غور المزرعة,أماكن صديقة,,المراكز والمؤسسات,893
مركز الغور الصافي,أماكن صديقة,,المراكز والمؤسسات,894
مركز أبو هريرة,أماكن صديقة,,المراكز والمؤسسات,895
مركز الكورة,أماكن صديقة,,المراكز والمؤسسات,896
مركز المفرق,أماكن صديقة,,المراكز والمؤسسات,897
مركز فرع الزرقاء,أماكن صديقة,,المراكز والمؤسسات,898
مركز أيتام مخيم مادبا,أماكن صديقة,,المراكز والمؤسسات,899
مركز أيتام مخيم غزة,أماكن صديقة,,المراكز والمؤسسات,900
مركز أيتام البيادر,أماكن صديقة,,المراكز والمؤسسات,901
مركز أيتام مخيم الطالبية,أماكن صديقة,,المراكز والمؤسسات,902
مركز الضليل,أماكن صديقة,,المراكز والمؤسسات,903
مركز الوسطية,أماكن صديقة,,المراكز والمؤسسات,904
مركز الإيمان,أماكن صديقة,,المراكز والمؤسسات,905
مركز مخيم الزرقاء,أماكن صديقة,,المراكز والمؤسسات,906
مركز الدبايبة,أماكن صديقة,,المراكز والمؤسسات,907
مركز الكرك,أماكن صديقة,,المراكز والمؤسسات,908
مركز الرجيب,أماكن صديقة,,المراكز والمؤسسات,909
مركز الحياة,أماكن صديقة,,المراكز والمؤسسات,910
جمعية بيت الكل الخيرية,أماكن صديقة,,المراكز والمؤسسات,911
مركز تنمية المجتمع المحلي الطرة,أماكن صديقة,,المراكز والمؤسسات,912
مركز تنمية المجتمع المحلي أم نوارة,أماكن صديقة,,المراكز والمؤسسات,913
مركز تنمية مجتمع محلي عنجرة,أماكن صديقة,,المراكز والمؤسسات,914
مركز ضرار,أماكن صديقة,,المراكز والمؤسسات,915
مركز تنمية المجتمع المحلي بيت راس,أماكن صديقة,,المراكز والمؤسسات,916
مركز تنمية المجتمع المحلي جديتا,أماكن صديقة,,المراكز والمؤسسات,917
مركز تنمية المجتمع المحلي النسيم,أماكن صديقة,,المراكز والمؤسسات,918
مركز تنمية المجتمع المحلي المريغة,أماكن صديقة,,المراكز والمؤسسات,919
مركز حمزة - الشوبك,أماكن صديقة,,المراكز والمؤسسات,920
مركز تنمية المجتمع المحلي أم صيحون,أماكن صديقة,,المراكز والمؤسسات,921
مركز تنمية المجتمع المحلي تل المنطح,أماكن صديقة,,المراكز والمؤسسات,922
مركز تنمية المجتمع المحلي العيص,أماكن صديقة,,المراكز والمؤسسات,923
جمعية جبل طارق,أماكن صديقة,,المراكز والمؤسسات,924
مركز تنمية المجتمع المحلي عين البيضا,أماكن صديقة,,المراكز والمؤسسات,925
مركز تنمية المجتمع المحلي قرى الحمايدة,أماكن صديقة,,المراكز والمؤسسات,926
مركز تنمية المجتمع المحلي الرويشد,أماكن صديقة,,المراكز والمؤسسات,927
المسعف الصغير,مبادرات مجتمعية وأنشطة,,المراكز والمؤسسات,928
سامعك للتدريب و التأهيل,مبادرات مجتمعية وأنشطة,,المراكز والمؤسسات,929
أنا أتعلم,مبادرات مجتمعية وأنشطة,,المراكز والمؤسسات,930
مشروع الطفل العربي لتنمية القدرات,أماكن صديقة,,المراكز والمؤسسات,931
الأردن المهيأ,مبادرات مجتمعية وأنشطة,,المراكز والمؤسسات,932
جمعية نور البركة,مبادرات مجتمعية وأنشطة,,المراكز والمؤسسات,933
ملتقى طيف التوحد,مبادرات مجتمعية وأنشطة,,المراكز والمؤسسات,934
مركز التحدي الأكبر للتربية الخاصة,إعاقات متعددة,جهة خاصة|معان,المراكز والمؤسسات,935
مركز التحدي الأكبر للتربية الخاصة,إعاقات متعددة,الكرك|جهة خاصة,المراكز والمؤسسات,936
المركز العلمي للتوحد والاضطرابات النمائية,إعاقات متعددة,جهة خاصة|عمان,المراكز والمؤسسات,937
نادي رياضي للأشخاص ذو الاحتياجات الخاصة - Super Power Gym,إعاقات متعددة,جهة خاصة|عمان,المراكز والمؤسسات,938
أكاديمية نبض للتعلم التفاعلي والتأهيل الشامل,إعاقات متعددة,جهة خاصة|عمان,المراكز والمؤسسات,939
Swim Jordan Center,إعاقات متعددة,جهة خاصة|عمان,المراكز والمؤسسات,940
